Draw,Entrant,Order,Eliminated by,Time,Eliminations
1,CM Punk,27,Kane,49:11,3
2,Seth Rollins,25,Roman Reigns,48:37,3
3,Damien Sandow,1,CM Punk,02:17,0
4,Cody Rhodes,11,Goldust,21:01,1
5,Kane,2,CM Punk,01:10,1
6,Alexander Rusev,3,CM Punk;Cody Rhodes;Kofi Kingston;Seth Rollins,07:06,0
7,Jack Swagger,6,Kevin Nash,12:24,0
8,Kofi Kingston,7,Roman Reigns,12:42,1
9,Jimmy Uso,5,Dean Ambrose,07:53,0
10,Goldust,12,Roman Reigns,12:00,1
11,Dean Ambrose,26,Roman Reigns,33:41,3
12,Dolph Ziggler,8,Roman Reigns,06:09,0
13,R-Truth,4,Dean Ambrose,00:28,0
14,Kevin Nash,9,Roman Reigns,02:36,1
15,Roman Reigns,29,Batista,33:51,12
16,The Great Khali,10,Dean Ambrose;Roman Reigns;Seth Rollins,00:24,0
17,Sheamus,28,Roman Reigns,28:22,1
18,The Miz,16,Luke Harper,12:09,0
19,Fandango,13,El Torito,03:02,0
20,El Torito,14,Roman Reigns,01:49,1
21,Antonio Cesaro,24,Roman Reigns,16:57,0
22,Luke Harper,23,Roman Reigns,15:21,2
23,Jey Uso,17,Luke Harper,04:32,0
24,John Bradshaw Layfield,15,Roman Reigns,00:49,0
25,Erick Rowan,18,Batista,05:05,0
26,Ryback,19,Batista,04:01,0
27,Alberto Del Rio,20,Batista,03:00,0
28,Batista,-,Winner,14:34,4
29,Big E Langston,21,Sheamus,02:49,0
30,Rey Mysterio,22,Seth Rollins,02:10,0
