Draw,Entrant,Order,Eliminated by,Time,Eliminations
1,The Miz,25,Big Show,45:39,2
2,Alex Riley,1,The Miz,01:15,0
3,R-Truth,2,The Miz,04:57,0
4,Cody Rhodes,24,Big Show,41:55,6
5,Justin Gabriel,4,Mick Foley;Ricardo Rodriguez,07:42,0
6,Primo,3,Mick Foley,01:57,0
7,Mick Foley,8,Cody Rhodes,06:34,3
8,Ricardo Rodriguez,5,Santino Marella,02:19,1
9,Santino Marella,7,Cody Rhodes,02:31,1
10,Epico,6,Mick Foley,00:11,0
11,Kofi Kingston,18,Sheamus,17:55,0
12,Jerry Lawler,9,Cody Rhodes,00:43,1
13,Ezekiel Jackson,11,The Great Khali,03:46,0
14,Jinder Mahal,10,The Great Khali,01:17,0
15,The Great Khali,14,Cody Rhodes,07:29,2
16,Hunico,16,Kharma,09:00,0
17,Booker T,13,Cody Rhodes;Dolph Ziggler,04:40,1
18,Dolph Ziggler,26,Big Show,19:46,2
19,Jim Duggan,12,Cody Rhodes,00:57,0
20,Michael Cole,15,Booker T;Jerry Lawler,01:23,0
21,Kharma,17,Dolph Ziggler,01:02,1
22,Sheamus,—,Winner,22:22,3
23,Road Dogg,19,Wade Barrett,04:55,0
24,Jey Uso,20,Randy Orton,07:05,0
25,Jack Swagger,23,Big Show & Sheamus,07:59,0
26,Wade Barrett,21,Randy Orton,03:55,1
27,David Otunga,22,Chris Jericho,03:15,0
28,Randy Orton,28,Chris Jericho,05:46,3
29,Chris Jericho,29,Sheamus,11:34,2
30,Big Show,27,Randy Orton,01:51,4
