Draw,Entrant,Order,Eliminated by,Time,Eliminations
1,Bret Hart,4,The Undertaker,20:33,0
2,Dino Bravo,1,Greg Valentine,03:06,0
3,Greg Valentine,15,Hulk Hogan,44:03,1
4,Paul Roma,3,Jake Roberts,14:05,0
5,The Texas Tornado,7,The Undertaker,24:17,0
6,Rick Martel,26,The British Bulldog,52:17,4
7,Saba Simba,2,Rick Martel,02:27,0
8,Bushwhacker Butch,5,The Undertaker,10:07,0
9,Jake Roberts,6,Rick Martel,12:58,1
10,Hercules,18,Brian Knobbs,37:36,1
11,Tito Santana,16,Earthquake,30:23,0
12,The Undertaker,10,Hawk & Animal,14:16,3
13,Jimmy Snuka,8,Hawk,08:06,0
14,The British Bulldog,27,Earthquake;Brian Knobbs,36:43,3
15,Smash,14,Hulk Hogan,18:22,0
16,Hawk,11,Rick Martel & Hercules,06:37,2
17,Shane Douglas,21,Brian Knobbs,26:23,0
18,Randy Savage,9,(No-showed the match),00:00,0
19,Animal,12,Earthquake,06:39,1
20,Crush,19,Hulk Hogan,18:34,0
21,Jim Duggan,13,Mr. Perfect,04:44,0
22,Earthquake,29,Hulk Hogan,24:42,4
23,Mr. Perfect,23,The British Bulldog,16:14,1
24,Hulk Hogan,-,Winner,21:00,7
25,Haku,25,The British Bulldog,13:24,0
26,Jim Neidhart,24,Rick Martel,11:11,0
27,Bushwhacker Luke,17,Earthquake,00:04,0
28,Brian Knobbs,28,Hulk Hogan,10:07,3
29,The Warlord,20,Hulk Hogan,01:35,0
30,Tugboat,22,Hulk Hogan,02:32,0
