Draw,Entrant,Brand/Status,Order,Eliminated by,Time,Elimination(s)
1,Brock Lesnar,Raw,14,Drew McIntyre,26:24,13
2,Elias,SmackDown,1,Brock Lesnar,01:00,0
3,Erick Rowan,Raw,2,Brock Lesnar,00:08,0
4,Robert Roode,SmackDown,3,Brock Lesnar,00:41,0
5,John Morrison,SmackDown,4,Brock Lesnar,00:09,0
6,Kofi Kingston,SmackDown,7,Brock Lesnar,05:06,0
7,Rey Mysterio,Raw,5,Brock Lesnar,02:54,0
8,Big E,SmackDown,6,Brock Lesnar,00:53,0
9,Cesaro,SmackDown,8,Brock Lesnar,00:18,0
10,Shelton Benjamin,Raw,9,Brock Lesnar,00:37,0
11,Shinsuke Nakamura,SmackDown,10,Brock Lesnar,00:20,0
12,Montel Vontavious Porter,Free agent,11,Brock Lesnar,00:24,0
13,Keith Lee,NXT,12,Brock Lesnar;Braun Strowman,03:32,1
14,Braun Strowman,SmackDown,13,Brock Lesnar;Keith Lee,01:48,1
15,Ricochet,Raw,15,Drew McIntyre,03:09,0
16,Drew McIntyre,Raw,–,Winner,34:11,6
17,The Miz,SmackDown,16,Drew McIntyre,00:30,0
18,AJ Styles,Raw,17,Edge,07:49,0
19,Dolph Ziggler,SmackDown,22,Roman Reigns,12:20,0
20,Karl Anderson,Raw,21,Randy Orton,09:46,0
21,Edge,Free agent,28,Roman Reigns,23:43,3
22,King Corbin,SmackDown,19,Drew McIntyre,04:06,1
23,Matt Riddle,NXT,18,King Corbin,00:41,0
24,Luke Gallows,Raw,20,Edge,02:00,0
25,Randy Orton,Raw,27,Edge,14:37,1
26,Roman Reigns,SmackDown,29,Drew McIntyre,16:01,2
27,Kevin Owens,Raw,24,Seth Rollins;Akam;Rezar,06:59,0
28,Aleister Black,Raw,23,Seth Rollins,05:06,0
29,Samoa Joe,Raw,25,Seth Rollins,04:25,0
30,Seth Rollins,Raw,26,Drew McIntyre,04:01,3
