Draw,Entrant,Brand/Status,Order,Eliminated by,Time,Elimination(s)
1,Sasha Banks,Raw,27,Brie Bella & Nikki Bella,54:46,3
2,Becky Lynch,SmackDown,14,Ruby Riott,30:54,2
3,Sarah Logan,SmackDown,7,Molly Holly,16:30,0
4,Mandy Rose,Raw,1,Lita,03:52,0
5,Lita,Free agent,3,Becky Lynch,05:51,2
6,Kairi Sane,NXT,4,Dana Brooke,04:49,0
7,Tamina,SmackDown,2,Lita,01:34,0
8,Dana Brooke,Raw,5,Torrie Wilson,02:59,1
9,Torrie Wilson,Free agent,6,Sonya Deville,03:04,1
10,Sonya Deville,Raw,8,Michelle McCool,06:41,1
11,Liv Morgan,SmackDown,9,Michelle McCool,05:12,0
12,Molly Holly,Free agent,10,Michelle McCool,04:04,1
13,Lana,SmackDown,11,Michelle McCool,02:54,0
14,Michelle McCool,Free agent,13,Natalya,08:38,5
15,Ruby Riott,SmackDown,17,Nia Jax,11:32,2
16,Vickie Guerrero,Free agent,12,Becky Lynch;Michelle McCool;Ruby Riott;Sasha Banks,00:57,0
17,Carmella,SmackDown,21,Nikki Bella,18:45,0
18,Natalya,SmackDown,25,Trish Stratus,25:34,3
19,Kelly Kelly,Free agent,16,Nia Jax,05:02,0
20,Naomi,SmackDown,18,Nia Jax,06:49,0
21,Jacqueline,Free agent,15,Nia Jax,01:52,0
22,Nia Jax,Raw,23,Asuka;Bayley;Brie Bella;Natalya;Nikki Bella;Trish Stratus,17:56,4
23,Ember Moon,NXT,20,Asuka,06:14,0
24,Beth Phoenix,Free agent,19,Natalya,02:22,0
25,Asuka,Raw,—,Winner,19:41,3
26,Mickie James,Raw,22,Trish Stratus,08:24,0
27,Nikki Bella,SmackDown,29,Asuka,16:30,4
28,Brie Bella,Free agent,28,Nikki Bella,11:58,2
29,Bayley,Raw,24,Sasha Banks,05:04,1
30,Trish Stratus,Free agent,26,Sasha Banks,05:36,3
