Draw,Entrant,Brand,Order,Eliminated by,Time,Eliminations
1,The Undertaker,SmackDown,11,Shawn Michaels,32:33,3
2,Shawn Michaels,Raw,12,Mr. Kennedy,32:39,2
3,Santino Marella,Raw,1,The Undertaker,00:25,0
4,The Great Khali,SmackDown,2,The Undertaker,01:09,0
5,Hardcore Holly,Raw,6,Umaga,13:46,0
6,John Morrison,ECW,14,Kane,29:23,0
7,Tommy Dreamer,ECW,3,Batista,02:09,0
8,Batista,SmackDown,28,Triple H,37:40,4
9,Hornswoggle,SmackDown,16,(Never re-entered),26:17,1
10,Chuck Palumbo,SmackDown,5,CM Punk,04:00,1
11,Jamie Noble,SmackDown,4,Chuck Palumbo,00:28,0
12,CM Punk,ECW,17,Chavo Guerrero,23:50,1
13,Cody Rhodes,Raw,18,Triple H,23:14,0
14,Umaga,Raw,26,Batista,26:05,1
15,Snitsky,Raw,10,The Undertaker,12:26,0
16,The Miz,ECW,13,Hornswoggle,13:07,0
17,Shelton Benjamin,ECW,7,Shawn Michaels,00:18,0
18,Jimmy Snuka,Free agent,9,Kane,02:43,0
19,Roddy Piper,Free agent,8,Kane,01:00,0
20,Kane,SmackDown,27,Batista;Triple H,17:58,3
21,Carlito,Raw,22,John Cena,15:07,0
22,Mick Foley,Raw,20,Triple H,11:29,0
23,Mr. Kennedy,Raw,25,Batista,13:32,1
24,Big Daddy V,ECW,19,Triple H,07:49,0
25,Mark Henry,SmackDown,24,John Cena,09:12,0
26,Chavo Guerrero,ECW,23,John Cena,07:33,1
27,Finlay,SmackDown,15,(Disqualified),00:00,0
28,Elijah Burke,ECW,21,Triple H,02:11,0
29,Triple H,Raw,29,John Cena,11:22,6
30,John Cena,Raw,—,Winner,08:28,4
