Draw,Entrant,Brand/Status,Order,Eliminated by,Time,Elimination(s)
1,Rusev,SmackDown,12,Bray Wyatt & Matt Hardy,30:28,0
2,Finn Bálor,Raw,27,John Cena,57:38,4
3,Rhyno,Raw,1,Baron Corbin,02:06,0
4,Baron Corbin,SmackDown,2,Finn Bálor,01:06,1
5,Heath Slater,Raw,4,Bray Wyatt,00:33,1
6,Elias,Raw,15,John Cena,26:00,0
7,Andrade "Cien" Almas,NXT,18,Randy Orton,29:24,1
8,Bray Wyatt,Raw,13,Matt Hardy,20:38,3
9,Big E,SmackDown,8,Jinder Mahal,14:14,0
10,Sami Zayn*,SmackDown,5,Shinsuke Nakamura,06:57,0
11,Sheamus,Raw,3,Heath Slater,00:02,0
12,Xavier Woods,SmackDown,7,Jinder Mahal,08:24,0
13,Apollo Crews,Raw,6,Cesaro,05:16,0
14,Shinsuke Nakamura,SmackDown,—,Winner,44:38,3
15,Cesaro,Raw,9,Seth Rollins,05:08,1
16,Kofi Kingston,SmackDown,11,Andrade Cien Almas,05:41,1
17,Jinder Mahal,SmackDown,10,Kofi Kingston,03:48,2
18,Seth Rollins,Raw,22,Roman Reigns,19:01,2
19,Matt Hardy,Raw,14,Matt Hardy,01:17,3
20,John Cena,Free agent,28,Shinsuke Nakamura,29:14,3
21,The Hurricane,Free agent,16,John Cena,00:45,0
22,Aiden English,SmackDown,17,Finn Bálor,02:16,0
23,Adam Cole,NXT,19,Rey Mysterio,06:52,0
24,Randy Orton,SmackDown,25,Roman Reigns,13:55,1
25,Titus ONeil,Raw,20,Roman Reigns,06:07,0
26,The Miz,Raw,21,Roman Reigns;Seth Rollins,05:20,0
27,Rey Mysterio,Free agent,26,Finn Bálor,09:40,1
28,Roman Reigns,Raw,29,Shinsuke Nakamura,21:52,4
29,Goldust,Raw,23,Dolph Ziggler,02:43,0
30,Dolph Ziggler,SmackDown,24,Finn Bálor,02:01,1
