Draw,Entrant,Order,Eliminated by,Time,Eliminations
1,Hunter Hearst Helmsley,19,Diesel,48:04,1
2,Henry O. Godwinn,2,Jake Roberts,16:24,0
3,Bob Backlund,1,Yokozuna,12:22,0
4,Jerry Lawler,16,Shawn Michaels,36:02,0
5,Bob Holly,18,The Ringmaster,39:35,0
6,King Mabel,3,Yokozuna,12:14,0
7,Jake Roberts,6,Vader,14:39,2
8,Dory Funk Jr.,5,Savio Vega,10:53,0
9,Yokozuna,11,Shawn Michaels,19:14,3
10,1-2-3 Kid,13,Unknown,15:40,0
11,Takao Omori,4,Hunter Hearst Helmsley;Jake Roberts,02:48,0
12,Savio Vega,10,Vader,12:28,1
13,Vader,12,Shawn Michaels,11:04,4
14,Doug Gilbert,7,Vader,02:59,0
15,Squat Teamer #1,8,Unknown,01:11,0
16,Squat Teamer #2,9,Yokozuna,00:24,0
17,Owen Hart,21,Diesel;Shawn Michaels,20:43,2
18,Shawn Michaels,-,Winner,26:09,8
19,Hakushi,14,Owen Hart,01:53,0
20,Tatanka,17,Diesel,04:09,1
21,Aldo Montoya,15,Tatanka,01:52,0
22,Diesel,29,Shawn Michaels,17:51,5
23,Kama,28,Diesel,15:57,1
24,The Ringmaster,23,Fatu,10:57,1
25,Barry Horowitz,20,Owen Hart,04:15,0
26,Fatu,24,Isaac Yankem; DDS,07:07,1
27,Isaac Yankem,25,Shawn Michaels,07:05,1
28,Marty Jannetty,22,The British Bulldog,02:35,0
29,The British Bulldog,27,Shawn Michaels,03:39,1
30,Duke Droese,26,Diesel;Kama,01:10,0
