Draw,Entrant,Brand,Order,Eliminated by,Time,Eliminations
1,Eddie Guerrero,SmackDown,11,Edge,28:11,3
2,Chris Benoit,Raw,25,Batista and Ric Flair,47:26,2
3,Daniel Puder,SmackDown,1,Hardcore Holly,04:09,0
4,Hardcore Holly,SmackDown,2,Chris Benoit;Eddie Guerrero,01:59,1
5,The Hurricane,Raw,3,Eddie Guerrero,01:04,0
6,Kenzo Suzuki,SmackDown,4,Rey Mysterio,03:31,0
7,Edge,Raw,28,Batista & John Cena,40:19,5
8,Rey Mysterio,SmackDown,27,Edge,38:25,2
9,Shelton Benjamin,Raw,10,Edge,14:35,1
10,Booker T,SmackDown,9,Eddie Guerrero;Rey Mysterio,10:42,3
11,Chris Jericho,Raw,21,Batista,28:22,2
12,Luther Reigns,SmackDown,7,Booker T,07:13,1
13,Muhammad Hassan,Raw,5,Booker T;Chris Benoit;Chris Jericho;Edge;Luther Reigns;Shelton Benjamin,00:54,0
14,Orlando Jordan,SmackDown,8,Booker T,03:36,0
15,Scotty 2 Hotty,SmackDown,6,Never Entered,0:00,0
16,Charlie Haas,SmackDown,13,Shawn Michaels,06:20,0
17,René Duprée,SmackDown,16,Chris Jericho,11:32,0
18,Simon Dean,Raw,12,Shawn Michaels,00:20,0
19,Shawn Michaels,Raw,15,Kurt Angle,04:56,3
20,Kurt Angle,SmackDown,14,Shawn Michaels,00:37,1
21,Jonathan Coachman,Raw,23,Ric Flair,13:48,0
22,Mark Jindrak,SmackDown,19,Kane,08:15,0
23,Viscera,Raw,17,John Cena,03:00,0
24,Paul London,SmackDown,18,Gene Snitsky,03:15,0
25,John Cena,SmackDown,29,Batista,15:28,3
26,Gene Snitsky,Raw,20,Batista,03:38,1
27,Kane,Raw,22,John Cena,03:54,1
28,Batista,Raw,-,Winner,10:54,6
29,Christian,Raw,24,Batista,02:09,0
30,Ric Flair,Raw,26,Edge,01:58,2
