Draw,Entrant,Brand,Order,Eliminated by,Time,Eliminations
1,Rey Mysterio,Raw,20,Big Show,49:26,1
2,John Morrison,ECW,5,Triple H,19:35,0
3,Carlito,SmackDown,3,Vladimir Kozlov,06:11,0
4,Montel Vontavious Porter,SmackDown,2,Vladimir Kozlov,03:52,0
5,The Great Khali,SmackDown,1,Vladimir Kozlov,01:30,0
6,Vladimir Kozlov,SmackDown,4,Triple H,02:40,3
7,Triple H,SmackDown,29,Randy Orton,50:00,6
8,Randy Orton,Raw,—,Winner,48:30,3
9,JTG,Raw,7,The Undertaker,11:59,0
10,Ted DiBiase,Raw,27,Triple H,45:11,1
11,Chris Jericho,Raw,23,The Undertaker,37:17,1
12,Mike Knox,Raw,19,Big Show,32:42,0
13,The Miz,ECW,6,Triple H,01:20,0
14,Finlay,ECW,21,Kane,30:00,0
15,Cody Rhodes,Raw,28,Triple H,37:01,2
16,The Undertaker,SmackDown,26,Big Show,32:30,4
17,Goldust,Raw,8,Cody Rhodes,01:11,0
18,CM Punk,Raw,18,Big Show,22:29,1
19,Mark Henry,ECW,9,The Undertaker;Rey Mysterio,03:14,0
20,Shelton Benjamin,SmackDown,10,The Undertaker,04:17,0
21,William Regal,Raw,11,CM Punk,04:23,0
22,Kofi Kingston,Raw,12,The Brian Kendrick,06:58,0
23,Kane,Raw,24,Cody Rhodes;Randy Orton;Ted DiBiase,18:21,3
24,R-Truth,SmackDown,17,Big Show,12:06,0
25,Rob Van Dam,Free agent,22,Chris Jericho,13:56,0
26,The Brian Kendrick,SmackDown,13,Triple H,00:15,1
27,Dolph Ziggler,Raw,14,Kane,00:21,0
28,Santino MarellaB,Raw,15,(Unknown),00:01,0
29,Jim Duggan,Raw,16,Big Show,02:50,0
30,Big Show,SmackDown,25,Randy Orton,09:32,6
