Draw,Entrant,Order,Eliminated by,Time,Eliminations
1,Ric Flair,4,Mr. Perfect,18:38,1
2,Bob Backlund,28,Yokozuna,1:01:10,2
3,Papa Shango,1,Ric Flair,00:28,0
4,Ted DiBiase,13,The Undertaker,24:55,4
5,Brian Knobbs,2,Ted DiBiase,02:58,0
6,Virgil,7,The Berzerker,17:08,0
7,Jerry Lawler,6,Mr. Perfect,14:35,1
8,Max Moon,3,Jerry Lawler,01:56,0
9,Genichiro Tenryu,10,The Undertaker,13:17,0
10,Mr. Perfect,8,"Jerry Lawler;Koko B. Ware;Ted DiBiase",09:15,3
11,Skinner,5,Mr. Perfect,03:05,0
12,Koko B. Ware,12,Ted DiBiase,08:31,1
13,Samu,9,The Undertaker,04:49,0
14,The Berzerker,14,The Undertaker,05:21,1
15,The Undertaker,15,Giant González,04:14,4
16,Terry Taylor,11,Ted DiBiase,00:24,0
17,Damien Demento,17,Carlos Colón,12:27,0
18,Irwin R. Schyster,19,Earthquake,16:00,0
19,Tatanka,20,Yokozuna,17:34,0
20,Jerry Sags,24,Owen Hart,21:50,0
21,Typhoon,16,Earthquake,05:12,0
22,Fatu,18,Bob Backlund,06:32,0
23,Earthquake,22,Yokozuna,11:00,2
24,Carlos Colón,21,Yokozuna,07:25,1
25,Tito Santana,23,Yokozuna,11:01,0
26,Rick Martel,27,Bob Backlund,11:23,0
27,Yokozuna,-,Winner,14:53,7
28,Owen Hart,25,Yokozuna,05:39,1
29,Repo Man,26,Randy Savage,03:33,0
30,Randy Savage,29,Yokozuna,09:01,1
