Draw,Entrant,Order,Eliminated by,Time,Eliminations
1,The British Bulldog,7,Ric Flair,23:33,3
2,Ted DiBiase,1,The British Bulldog,01:18,0
3,Ric Flair,-,Winner,1:00:02,5
4,Jerry Sags,2,The British Bulldog,01:06,0
5,Haku,3,The British Bulldog,01:51,0
6,Shawn Michaels,10,Tito Santana,15:46,1
7,Tito Santana,9,Shawn Michaels,13:55,1
8,The Barbarian,11,Hercules,12:55,0
9,The Texas Tornado,8,Ric Flair,09:20,0
10,Repo Man,6,Big Boss Man,06:23,2
11,Greg Valentine,5,Repo Man,04:12,0
12,Nikolai Volkoff,4,Repo Man,01:03,0
13,Big Boss Man,13,Ric Flair,03:38,2
14,Hercules,12,Big Boss Man,00:56,1
15,Roddy Piper,26,Sid Justice,34:06,1
16,Jake Roberts,15,Randy Savage,10:55,0
17,Jim Duggan,19,Virgil,20:45,1
18,Irwin R. Schyster,23,Roddy Piper,27:01,0
19,Jimmy Snuka,14,The Undertaker,02:27,0
20,The Undertaker,17,Hulk Hogan,13:51,1
21,Randy Savage,27,Ric Flair;Sid Justice,22:26,2
22,The Berzerker,18,Hulk Hogan,09:00,0
23,Virgil,20,Jim Duggan,07:29,1
24,Col. Mustafa,16,Randy Savage,02:36,0
25,Rick Martel,25,Sid Justice,12:39,1
26,Hulk Hogan,28,Sid Justice,11:29,4
27,Skinner,21,Rick Martel,02:13,0
28,Sgt. Slaughter,22,Sid Justice,04:37,0
29,Sid Justice,29,Hulk Hogan;Ric Flair,05:55,6
30,The Warlord,24,Hulk Hogan;Sid Justice,01:43,0
