Draw,Entrant,Order,Eliminated by,Time,Eliminations
1,Roman Reigns,28,Triple H,59:48,5
2,Rusev,1,Roman Reigns,1:30,0
3,AJ Styles,11,Kevin Owens,28:58,2
4,Tyler Breeze,2,Roman Reigns;AJ Styles,01:18,0
5,Curtis Axel,3,AJ Styles,1:30,0
6,Chris Jericho,26,Dean Ambrose,50:47,1
7,Kane,9,Braun Strowman,19:07,1
8,Goldust,4,Titus O'Neil,6:18,0
9,Ryback,8,Big Show,12:37,0
10,Kofi Kingston,6,Chris Jericho,8:26,0
11,Titus ONeil,7,Big Show,9:06,1
12,R-Truth,5,Kane,0:59,0
13,Luke Harper,19,Brock Lesnar,24:16,3
14,Stardust,14,Luke Harper,14:12,0
15,Big Show,10,Braun Strowman,4:58,2
16,Neville,13,Luke Harper,10:17,0
17,Braun Strowman,20,Brock Lesnar,18:01,5
18,Kevin Owens,12,Sami Zayn,4:58,1
19,Dean Ambrose,29,Triple H,29:57,1
20,Sami Zayn,16,Braun Strowman,04:55,1
21,Erick Rowan,17,Brock Lesnar,4:35,1
22,Mark Henry,15,Braun Strowman;Erick Rowan;Luke Harper,0:47,0
23,Brock Lesnar,21,Braun Strowman;Erick Rowan;Luke Harper,9:31,4
24,Jack Swagger,18,Brock Lesnar,0:15,0
25,The Miz,22,Roman Reigns,8:55,0
26,Alberto Del Rio,23,Roman Reigns,7:02,0
27,Bray Wyatt,25,Sheamus;Triple H,11:25,0
28,Dolph Ziggler,24,Triple H,7:10,0
29,Sheamus,27,Roman Reigns,8:46,1
30,Triple H,-,Winner,9:03,4
